3, "тысяча", "тысячи", "тысяч", F
6, "миллион", "миллиона", "миллионов", M
9, "миллиард", "миллиарда", "миллиардов", M
12, "триллион", "триллиона", "триллионов", M
15, "квадриллион", "квадриллиона", "квадриллионов", M

