3, "тысяча", "тысячи", "тысяч", FEMININE
6, "миллион", "миллиона", "миллионов", MASCULINE
9, "миллиард", "миллиарда", "миллиардов", MASCULINE
12, "триллион", "триллиона", "триллионов", MASCULINE
15, "квадриллион", "квадриллиона", "квадриллионов", MASCULINE

